,,,,,,,,,,,,,,,,,,,,,,,SANITATION,Year,,,,,NATIONAL,,,,,,,RURAL,,,,,,,URBAN,,,,,,,,,,,,,,,
Chile,CHL,2004,   15 913,87,94,0,4,2,0.54,-0.15,76,0,21,3,2.12,-0.16,97,0,1,2,0.28,-0.15,Chile,2004,,42,6,0,36,4,8,83,-,-,-,6,24,38,14,50,2,0,48,1,3,93,,,,,,,,,,,,
Chile,CHL,2005,   16 097,87,95,0,3,2,0.54,-0.15,78,0,19,3,2.12,-0.16,97,0,1,2,0.28,-0.15,Chile,2005,,45,6,0,40,4,8,84,-,-,-,7,23,40,15,53,2,0,51,1,3,93,,,,,,,,,,,,
Chile,CHL,2006,   16 280,88,96,0,3,2,0.54,-0.15,80,0,17,3,2.12,-0.16,98,0,1,1,0.28,-0.15,Chile,2006,,49,6,0,44,3,8,84,-,-,-,8,23,42,16,56,2,0,54,1,3,94,,,,,,,,,,,,
Chile,CHL,2007,   16 463,88,96,0,3,1,0.54,-0.15,82,0,15,2,2.12,-0.16,98,0,1,1,0.28,-0.15,Chile,2007,,53,6,0,47,3,8,85,-,-,-,9,22,45,16,58,2,0,56,1,3,94,,,,,,,,,,,,
Chile,CHL,2008,   16 646,88,97,0,2,1,0.54,-0.15,85,0,13,2,2.12,-0.16,98,0,1,1,0.28,-0.15,Chile,2008,,57,6,0,51,3,8,85,-,-,-,10,21,47,17,61,2,0,59,1,3,95,,,,,,,,,,,,
Chile,CHL,2009,   16 830,88,97,0,2,1,0.54,-0.15,87,0,11,2,2.12,-0.16,99,0,1,1,0.28,-0.15,Chile,2009,,61,6,0,55,3,8,86,-,-,-,11,20,49,18,64,2,0,62,1,3,95,,,,,,,,,,,,
Chile,CHL,2010,   17 015,89,98,0,1,1,0.54,-0.15,89,0,9,2,2.12,-0.16,99,0,0,1,0.28,-0.15,Chile,2010,,65,6,0,59,3,8,87,-,-,-,13,19,52,18,67,2,0,65,1,3,96,,,,,,,,,,,,
Chile,CHL,2011,   17 201,89,98,0,1,1,0.54,-0.15,91,0,7,2,2.12,-0.16,99,0,0,1,0.28,-0.15,Chile,2011,,69,5,0,64,2,8,87,-,-,-,14,18,54,19,70,2,0,68,0,3,96,,,,,,,,,,,,
Chile,CHL,2012,   17 388,89,99,0,1,1,0.54,-0.15,93,0,5,2,2.12,-0.16,99,0,0,0,0.28,-0.15,Chile,2012,,73,5,0,68,2,9,88,-,-,-,15,17,56,20,73,2,0,71,0,3,96,,,,,,,,,,,,
Chile,CHL,2013,   17 576,89,99,0,0,0,0.54,-0.15,96,0,3,1,2.12,-0.16,100,0,0,0,0.28,-0.15,Chile,2013,,77,5,0,72,2,9,89,-,-,-,17,16,59,21,76,1,0,74,0,3,97,,,,,,,,,,,,
Chile,CHL,2014,   17 763,89,100,0,0,0,0.54,-0.15,98,0,1,1,2.12,-0.16,100,0,0,0,0.28,-0.15,Chile,2014,,81,5,0,76,2,9,89,-,-,-,18,15,61,21,78,1,0,77,0,3,97,,,,,,,,,,,,
Chile,CHL,2015,   17 948,90,100,0,0,0,0.54,-0.15,99,0,0,1,2.12,-0.16,100,0,0,0,0.28,-0.15,Chile,2015,,85,5,0,80,1,9,90,-,-,-,20,13,63,22,81,1,0,80,0,2,98,,,,,,,,,,,,
China,CHN,2000,1 269 975,36,61,4,33,2,0.96,-0.06,52,3,42,4,0.63,-0.07,77,5,18,0,0.64,0.04,China,2000,,29,19,0,10,21,7,32,30,28,0,3,33,10,9,26,2,0,24,0,3,74,,,,,,,,,,,,
China,CHN,2001,1 277 189,37,61,4,33,2,0.96,-0.06,52,3,42,4,0.63,-0.07,77,5,17,0,0.64,0.04,China,2001,,29,18,0,11,21,7,33,30,28,0,3,33,10,9,27,3,0,24,0,3,74,,,,,,,,,,,,
China,CHN,2002,1 284 350,38,62,4,32,2,0.96,-0.06,52,3,41,4,0.63,-0.07,78,5,16,1,0.64,0.04,China,2002,,30,19,0,11,21,7,34,31,28,0,3,35,9,9,27,3,0,24,0,4,74,,,,,,,,,,,,
China,CHN,2003,1 291 485,40,63,4,31,2,0.96,-0.06,53,3,41,4,0.63,-0.07,79,5,15,1,0.64,0.04,China,2003,,31,19,0,13,22,6,35,32,29,0,3,36,8,9,31,4,0,27,1,4,74,,,,,,,,,,,,
China,CHN,2004,1 298 573,41,64,4,30,2,0.96,-0.06,54,3,40,3,0.63,-0.07,79,6,15,1,0.64,0.04,China,2004,,33,19,0,15,23,6,36,33,29,0,4,37,8,9,34,4,0,30,2,3,74,,,,,,,,,,,,
China,CHN,2005,1 305 601,43,65,4,29,2,0.96,-0.06,54,3,40,3,0.63,-0.07,80,6,14,1,0.64,0.04,China,2005,,35,19,0,17,23,5,37,33,29,0,4,39,7,9,38,5,0,33,3,3,74,,,,,,,,,,,,
China,CHN,2006,1 312 601,44,66,4,28,2,0.96,-0.06,55,3,39,3,0.63,-0.07,80,6,13,1,0.64,0.04,China,2006,,37,19,0,19,24,5,37,34,30,0,4,40,6,9,42,5,0,37,4,3,74,,,,,,,,,,,,
China,CHN,2007,1 319 625,45,67,4,27,2,0.96,-0.06,56,3,38,3,0.63,-0.07,81,6,13,1,0.64,0.04,China,2007,,40,19,0,21,25,4,38,35,30,0,5,42,6,9,45,6,0,40,5,3,74,,,,,,,,,,,,
China,CHN,2008,1 326 691,47,68,4,26,2,0.96,-0.06,56,3,38,3,0.63,-0.07,82,6,12,1,0.64,0.04,China,2008,,42,19,0,23,25,4,39,36,31,0,5,43,5,9,49,6,0,43,6,2,74,,,,,,,,,,,,
China,CHN,2009,1 333 807,48,69,4,25,2,0.96,-0.06,57,3,37,3,0.63,-0.07,82,6,11,1,0.64,0.04,China,2009,,44,19,0,25,26,3,40,37,31,0,5,44,4,9,53,6,0,46,6,2,74,,,,,,,,,,,,
China,CHN,2010,1 340 969,49,70,4,24,2,0.96,-0.06,58,3,36,3,0.63,-0.07,83,6,11,1,0.64,0.04,China,2010,,47,19,0,27,27,3,41,38,32,0,6,46,3,9,56,7,0,49,7,2,74,,,,,,,,,,,,
China,CHN,2011,1 348 174,51,71,4,23,2,0.96,-0.06,58,3,36,3,0.63,-0.07,84,6,10,1,0.64,0.04,China,2011,,49,19,0,30,27,2,42,38,32,0,6,47,3,9,60,7,0,53,8,2,74,,,,,,,,,,,,
China,CHN,2012,1 355 387,52,72,4,22,2,0.96,-0.06,59,3,35,3,0.63,-0.07,84,6,9,1,0.64,0.04,China,2012,,52,19,0,32,28,2,43,39,33,0,7,48,2,9,63,7,0,56,9,1,74,,,,,,,,,,,,
China,CHN,2013,1 362 514,53,73,5,21,2,0.96,-0.06,60,3,35,3,0.63,-0.07,85,6,9,1,0.64,0.04,China,2013,,54,20,0,35,28,1,44,40,33,0,7,50,1,9,67,8,0,59,10,1,74,,,,,,,,,,,,
China,CHN,2014,1 369 436,54,74,5,20,2,0.96,-0.06,60,3,34,3,0.63,-0.07,86,6,8,1,0.64,0.04,China,2014,,57,20,0,37,29,1,44,41,34,0,7,51,1,9,70,8,0,62,11,1,74,,,,,,,,,,,,
China,CHN,2015,1 376 049,56,75,5,19,2,0.96,-0.06,61,3,33,3,0.63,-0.07,86,6,7,1,0.64,0.04,China,2015,,60,20,0,40,30,0,45,42,34,0,8,52,0,9,73,8,0,65,12,1,74,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2000,    6 784,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2000,,17,2,0,15,3,-,94,-,-,-,-,-,-,-,17,2,0,15,3,-,94,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2001,    6 837,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2001,,17,2,0,15,3,-,94,-,-,-,-,-,-,-,17,2,0,15,3,-,94,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2002,    6 855,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2002,,17,2,0,15,3,-,94,-,-,-,-,-,-,-,17,2,0,15,3,-,94,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2003,    6 850,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2003,,17,2,0,15,3,-,94,-,-,-,-,-,-,-,17,2,0,15,3,-,94,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2004,    6 842,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2004,,17,2,0,15,3,-,94,-,-,-,-,-,-,-,17,2,0,15,3,-,94,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2005,    6 842,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2005,,17,2,0,15,3,-,94,-,-,-,-,-,-,-,17,2,0,15,3,-,94,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2006,    6 856,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2006,,17,2,0,15,3,-,94,-,-,-,-,-,-,-,17,2,0,15,3,-,94,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2007,    6 879,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2007,,17,2,0,15,3,-,93,-,-,-,-,-,-,-,17,2,0,15,3,-,93,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2008,    6 910,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2008,,16,2,0,15,3,-,93,-,-,-,-,-,-,-,16,2,0,15,3,-,93,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2009,    6 949,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2009,,16,2,0,15,3,-,93,-,-,-,-,-,-,-,16,2,0,15,3,-,93,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2010,    6 994,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2010,,16,2,0,15,3,-,93,-,-,-,-,-,-,-,16,2,0,15,3,-,93,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2011,    7 044,100,97,0,3,0,-0.04,0.00,-,-,-,-,-,-,97,0,3,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2011,,16,2,0,15,3,-,93,-,-,-,-,-,-,-,16,2,0,15,3,-,93,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2012,    7 102,100,96,0,4,0,-0.04,0.00,-,-,-,-,-,-,96,0,4,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2012,,16,2,0,15,4,-,93,-,-,-,-,-,-,-,16,2,0,15,4,-,93,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2013,    7 164,100,96,0,4,0,-0.04,0.00,-,-,-,-,-,-,96,0,4,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2013,,16,2,0,14,4,-,93,-,-,-,-,-,-,-,16,2,0,14,4,-,93,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2014,    7 227,100,96,0,4,0,-0.04,0.00,-,-,-,-,-,-,96,0,4,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2014,,16,2,0,14,4,-,93,-,-,-,-,-,-,-,16,2,0,14,4,-,93,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",HKG,2015,    7 288,100,96,0,4,0,-0.04,0.00,-,-,-,-,-,-,96,0,4,0,-0.04,0.00,"China, Hong Kong Special Administrative Region",2015,,16,2,0,14,4,-,93,-,-,-,-,-,-,-,16,2,0,14,4,-,93,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2000,      432,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2000,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2001,      438,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2001,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2002,      444,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2002,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2003,      451,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2003,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2004,      459,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2004,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2005,      468,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2005,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2006,      480,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2006,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2007,      493,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2007,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2008,      507,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2008,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2009,      521,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2009,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2010,      535,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2010,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2011,      547,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2011,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2012,      558,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2012,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2013,      568,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2014,      578,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"China, Macao Special Administrative Region",MAC,2015,      588,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"China, Macao Special Administrative Region",2015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
Colombia,COL,2000,   40 404,72,76,8,7,10,0.58,-0.37,51,4,16,29,1.43,-1.05,86,9,3,2,0.18,-0.06,Colombia,2000,,17,7,0,10,1,12,62,-,-,-,3,3,31,16,16,3,0,13,1,5,80,,,,,,,,,,,,
Colombia,COL,2001,   40 989,72,76,8,7,9,0.58,-0.37,52,4,16,28,1.43,-1.05,86,9,3,2,0.18,-0.06,Colombia,2001,,17,7,0,10,1,12,63,-,-,-,3,3,33,16,16,3,0,13,1,5,80,,,,,,,,,,,,
Colombia,COL,2002,   41 572,73,77,8,6,9,0.58,-0.37,53,4,15,27,1.43,-1.05,86,9,3,2,0.18,-0.06,Colombia,2002,,17,7,0,10,1,13,63,-,-,-,2,3,35,15,16,3,0,13,1,5,81,,,,,,,,,,,,
Colombia,COL,2003,   42 152,73,78,8,6,8,0.58,-0.37,55,4,15,26,1.43,-1.05,86,9,3,2,0.18,-0.06,Colombia,2003,,17,7,0,10,1,13,63,-,-,-,2,3,36,15,16,3,0,13,0,5,81,,,,,,,,,,,,
Colombia,COL,2004,   42 724,73,78,8,6,8,0.58,-0.37,56,4,14,25,1.43,-1.05,86,9,3,2,0.18,-0.06,Colombia,2004,,18,7,0,10,1,13,64,-,-,-,2,3,38,15,16,3,0,13,0,5,81,,,,,,,,,,,,
Colombia,COL,2005,   43 286,74,79,8,6,8,0.58,-0.37,58,4,14,24,1.43,-1.05,86,9,3,2,0.18,-0.06,Colombia,2005,,18,7,0,10,1,14,64,-,-,-,2,3,40,15,16,3,0,13,0,5,81,,,,,,,,,,,,
Colombia,COL,2006,   43 836,74,79,8,5,7,0.58,-0.37,59,4,13,23,1.43,-1.05,87,9,3,2,0.18,-0.06,Colombia,2006,,18,8,0,10,1,14,64,-,-,-,2,4,41,14,16,3,0,13,0,5,81,,,,,,,,,,,,
Colombia,COL,2007,   44 375,74,80,8,5,7,0.58,-0.37,61,5,13,22,1.43,-1.05,87,9,2,1,0.18,-0.06,Colombia,2007,,18,8,0,10,1,14,64,-,-,-,2,4,43,14,16,3,0,13,0,5,82,,,,,,,,,,,,
Colombia,COL,2008,   44 902,74,81,8,5,6,0.58,-0.37,62,5,12,21,1.43,-1.05,87,9,2,1,0.18,-0.06,Colombia,2008,,18,8,0,10,1,15,65,-,-,-,2,4,44,14,16,3,0,13,0,5,82,,,,,,,,,,,,
Colombia,COL,2009,   45 416,75,81,8,5,6,0.58,-0.37,63,5,12,20,1.43,-1.05,87,9,2,1,0.18,-0.06,Colombia,2009,,19,8,0,11,1,15,65,-,-,-,2,4,46,14,16,3,0,13,0,5,82,,,,,,,,,,,,
Colombia,COL,2010,   45 918,75,82,8,4,6,0.58,-0.37,65,5,11,19,1.43,-1.05,87,9,2,1,0.18,-0.06,Colombia,2010,,19,8,0,11,1,15,65,-,-,-,2,4,48,14,16,3,0,13,0,5,82,,,,,,,,,,,,
Colombia,COL,2011,   46 406,75,82,8,4,5,0.58,-0.37,66,5,11,18,1.43,-1.05,88,9,2,1,0.18,-0.06,Colombia,2011,,19,8,0,11,1,16,66,-,-,-,2,4,49,13,16,3,0,13,0,5,82,,,,,,,,,,,,
Colombia,COL,2012,   46 881,76,83,8,4,5,0.58,-0.37,68,5,10,17,1.43,-1.05,88,9,2,1,0.18,-0.06,Colombia,2012,,19,8,0,11,1,16,66,-,-,-,2,4,51,13,16,3,0,13,0,5,83,,,,,,,,,,,,
Colombia,COL,2013,   47 342,76,83,8,4,5,0.58,-0.37,69,5,10,16,1.43,-1.05,88,9,2,1,0.18,-0.06,Colombia,2013,,19,9,0,11,1,16,66,-,-,-,2,4,53,13,16,3,0,13,0,5,83,,,,,,,,,,,,
Colombia,COL,2014,   47 791,76,84,8,3,4,0.58,-0.37,71,5,9,15,1.43,-1.05,88,9,1,1,0.18,-0.06,Colombia,2014,,19,9,0,11,1,16,67,-,-,-,2,4,54,13,16,3,0,13,0,5,83,,,,,,,,,,,,
Colombia,COL,2015,   48 229,76,84,9,3,4,0.58,-0.37,72,5,9,14,1.43,-1.05,88,9,1,1,0.18,-0.06,Colombia,2015,,20,9,0,11,1,17,67,-,-,-,2,4,56,12,16,3,0,13,0,5,83,,,,,,,,,,,,
Comoros,COM,2000,      548,28,27,5,68,1,0.49,0.00,22,4,74,1,0.46,0.00,39,7,54,1,0.54,-0.01,Comoros,2000,,-,-,-,-,27,0,0,-,-,-,-,22,0,0,-,-,-,-,39,0,0,,,,,,,,,,,,
Comoros,COM,2001,      562,28,27,5,67,1,0.49,0.00,23,4,73,1,0.46,0.00,40,7,53,1,0.54,-0.01,Comoros,2001,,-,-,-,-,27,0,0,-,-,-,-,22,0,0,-,-,-,-,40,0,0,,,,,,,,,,,,
Comoros,COM,2002,      575,28,28,5,67,1,0.49,0.00,23,4,72,1,0.46,0.00,40,7,52,1,0.54,-0.01,Comoros,2002,,-,-,-,-,27,0,0,-,-,-,-,23,0,0,-,-,-,-,40,0,1,,,,,,,,,,,,
Comoros,COM,2003,      590,28,28,5,66,1,0.49,0.00,24,4,72,1,0.46,0.00,41,7,52,1,0.54,-0.01,Comoros,2003,,-,-,-,-,28,0,1,-,-,-,-,23,0,1,-,-,-,-,39,0,1,,,,,,,,,,,,
Comoros,COM,2004,      604,28,29,5,66,1,0.49,0.00,24,4,71,1,0.46,0.00,41,7,51,1,0.54,-0.01,Comoros,2004,,-,-,-,-,27,0,1,-,-,-,-,23,0,1,-,-,-,-,39,1,2,,,,,,,,,,,,
Comoros,COM,2005,      619,28,29,5,65,1,0.49,0.00,25,4,71,1,0.46,0.00,42,7,50,1,0.54,-0.01,Comoros,2005,,-,-,-,-,27,1,1,-,-,-,-,23,1,1,-,-,-,-,38,2,2,,,,,,,,,,,,
Comoros,COM,2006,      634,28,30,5,64,1,0.49,0.00,25,4,70,1,0.46,0.00,43,7,50,1,0.54,-0.01,Comoros,2006,,-,-,-,-,27,1,2,-,-,-,-,23,1,1,-,-,-,-,37,2,3,,,,,,,,,,,,
Comoros,COM,2007,      649,28,30,5,64,1,0.49,0.00,26,4,69,1,0.46,0.00,43,7,49,1,0.54,-0.01,Comoros,2007,,-,-,-,-,27,2,2,-,-,-,-,23,1,2,-,-,-,-,37,3,3,,,,,,,,,,,,
Comoros,COM,2008,      665,28,31,5,63,1,0.49,0.00,26,4,69,1,0.46,0.00,44,7,48,1,0.54,-0.01,Comoros,2008,,-,-,-,-,26,2,2,-,-,-,-,23,1,2,-,-,-,-,36,4,4,,,,,,,,,,,,
Comoros,COM,2009,      682,28,31,5,63,1,0.49,0.00,27,5,68,1,0.46,0.00,44,7,48,1,0.54,-0.01,Comoros,2009,,-,-,-,-,26,3,3,-,-,-,-,23,2,2,-,-,-,-,35,5,4,,,,,,,,,,,,
Comoros,COM,2010,      699,28,32,5,62,1,0.49,0.00,27,5,68,1,0.46,0.00,45,8,47,1,0.54,-0.01,Comoros,2010,,-,-,-,-,26,3,3,-,-,-,-,23,2,2,-,-,-,-,35,5,5,,,,,,,,,,,,
Comoros,COM,2011,      716,28,33,6,61,1,0.49,0.00,28,5,67,1,0.46,0.00,46,8,46,1,0.54,-0.01,Comoros,2011,,-,-,-,-,26,3,3,-,-,-,-,22,2,3,-,-,-,-,34,6,6,,,,,,,,,,,,
Comoros,COM,2012,      734,28,33,6,61,1,0.49,0.00,28,5,67,1,0.46,0.00,46,8,46,1,0.54,-0.01,Comoros,2012,,-,-,-,-,25,4,4,-,-,-,-,22,3,3,-,-,-,-,33,7,6,,,,,,,,,,,,
Comoros,COM,2013,      752,28,34,6,60,1,0.49,0.00,28,5,66,1,0.46,0.00,47,8,45,1,0.54,-0.01,Comoros,2013,,-,-,-,-,25,4,4,-,-,-,-,22,3,3,-,-,-,-,33,7,7,,,,,,,,,,,,
Comoros,COM,2014,      770,28,34,6,59,1,0.49,0.00,29,5,65,1,0.46,0.00,47,8,44,1,0.54,-0.01,Comoros,2014,,-,-,-,-,25,5,4,-,-,-,-,22,3,3,-,-,-,-,32,8,7,,,,,,,,,,,,
Comoros,COM,2015,      788,28,34,6,59,1,0.49,0.00,29,5,65,1,0.46,0.00,47,8,44,1,0.54,-0.01,Comoros,2015,,-,-,-,-,25,5,4,-,-,-,-,22,3,3,-,-,-,-,32,8,7,,,,,,,,,,,,
Congo,COG,2000,    3 109,59,13,25,53,9,0.15,-0.04,6,9,69,17,0.00,0.21,18,37,42,3,0.15,-0.07,Congo,2000,,-,-,-,-,10,1,2,-,-,-,-,6,0,0,-,-,-,-,13,2,3,,,,,,,,,,,,
Congo,COG,2001,    3 184,59,13,26,53,9,0.15,-0.04,6,9,69,17,0.00,0.21,18,37,42,3,0.15,-0.07,Congo,2001,,-,-,-,-,10,1,2,-,-,-,-,6,0,0,-,-,-,-,13,2,3,,,,,,,,,,,,
Congo,COG,2002,    3 257,60,13,26,53,9,0.15,-0.04,6,9,69,17,0.00,0.21,18,38,42,3,0.15,-0.07,Congo,2002,,-,-,-,-,10,1,2,-,-,-,-,6,0,0,-,-,-,-,13,2,3,,,,,,,,,,,,
Congo,COG,2003,    3 332,60,13,26,52,9,0.15,-0.04,6,9,68,17,0.00,0.21,18,38,41,3,0.15,-0.07,Congo,2003,,-,-,-,-,10,1,2,-,-,-,-,6,0,0,-,-,-,-,13,2,3,,,,,,,,,,,,
Congo,COG,2004,    3 413,61,13,27,52,9,0.15,-0.04,6,9,68,18,0.00,0.21,18,38,41,3,0.15,-0.07,Congo,2004,,-,-,-,-,10,1,2,-,-,-,-,5,0,0,-,-,-,-,14,2,2,,,,,,,,,,,,
Congo,COG,2005,    3 503,61,13,27,51,8,0.15,-0.04,6,9,68,18,0.00,0.21,18,39,40,2,0.15,-0.07,Congo,2005,,-,-,-,-,11,1,1,-,-,-,-,5,0,0,-,-,-,-,14,2,2,,,,,,,,,,,,
Congo,COG,2006,    3 605,61,14,27,51,8,0.15,-0.04,6,9,68,18,0.00,0.21,19,39,40,2,0.15,-0.07,Congo,2006,,-,-,-,-,11,2,1,-,-,-,-,5,0,0,-,-,-,-,14,2,2,,,,,,,,,,,,
Congo,COG,2007,    3 716,62,14,28,50,8,0.15,-0.04,6,9,67,18,0.00,0.21,19,39,40,2,0.15,-0.07,Congo,2007,,-,-,-,-,11,2,1,-,-,-,-,5,0,0,-,-,-,-,14,3,2,,,,,,,,,,,,
Congo,COG,2008,    3 833,62,14,28,50,8,0.15,-0.04,6,9,67,19,0.00,0.21,19,40,39,2,0.15,-0.07,Congo,2008,,-,-,-,-,11,2,1,-,-,-,-,5,0,0,-,-,-,-,15,3,2,,,,,,,,,,,,
Congo,COG,2009,    3 951,63,14,28,49,8,0.15,-0.04,6,9,67,19,0.00,0.21,19,40,39,2,0.15,-0.07,Congo,2009,,-,-,-,-,11,2,1,-,-,-,-,5,0,0,-,-,-,-,15,3,2,,,,,,,,,,,,
Congo,COG,2010,    4 066,63,14,29,49,8,0.15,-0.04,6,9,67,19,0.00,0.21,19,41,38,2,0.15,-0.07,Congo,2010,,-,-,-,-,11,2,1,-,-,-,-,5,0,0,-,-,-,-,15,3,1,,,,,,,,,,,,
