"","sciname","common","SpecCode","Resilience"
"480","Zenopsis conchifer","Silvery John dory",336,"Low"
"481","Zeus faber","John dory",1370,"Medium"
"482","Zoarces americanus","Ocean pout",480,"Low"
"483","Zoarces viviparus","Viviparous blenny",479,"Low"
"484","Zygochlamys patagonica","Patagonean scallop",NA,NA
"485","Aphanopus carbo","Black scabbardfish",646,"Low"
"486","Centrophorus squamosus","Leafscale gulper shark",653,"Low"
"487","Cetorhinus maximus","Basking shark",90,"Very low"
"488","Clupea pallasii pallasii","Pacific herring",1520,"Medium"
"489","Coryphaenoides rupestris","Roundnose grenadier",332,"Low"
"490","Engraulis encrasicolus","European anchovy",66,"Medium"
"491","Gadus macrocephalus","Pacific cod",308,"Low"
"492","Gadus morhua","Atlantic cod",69,"Medium"
"493","Galeorhinus galeus","Tope shark",4642,"Low"
"494","Hoplostethus atlanticus","Orange roughy",334,"Very low"
"495","Lepidorhombus whiffiagonis","Megrim",28,"Medium"
"496","Limanda limanda","Dab",695,"Medium"
"497","Lophius piscatorius","Angler",716,"Medium"
"498","Melanogrammus aeglefinus","Haddock",1381,"Medium"
"499","Merlangius merlangus","Whiting",29,"Medium"
"500","Molva dypterygia","Blue ling",1383,"Low"
"501","Molva molva","Ling",33,"Medium"
"502","Pagellus bogaraveo","Blackspot seabream",890,"Medium"
"503","Phycis blennoides","Greater forkbeard",1340,"Medium"
"504","Pleuronectes platessa","European plaice",1342,"Medium"
"505","Pollachius virens","Saithe",1343,"Medium"
"506","Reinhardtius hippoglossoides","Greenland halibut",516,"Low"
"507","Salmo salar","Atlantic salmon",236,"Medium"
"508","Sardina pilchardus","European pilchard",1350,"Medium"
"509","Scomber scombrus","Atlantic mackerel",118,"Medium"
"510","Scophthalmus rhombus","Brill",529,"Medium"
"511","Sebastes mentella","Deepwater redfish",505,"Very low"
"512","Solea solea","Common sole",525,"Medium"
"513","Sprattus sprattus","European sprat",1357,"Medium"
"514","Squalus acanthias","Piked dogfish",139,"Very low"
"515","Thunnus alalunga","Albacore",142,"Medium"
"516","Thunnus obesus","Bigeye tuna",146,"Medium"
"517","Thunnus thynnus","Atlantic bluefin tuna",147,"Low"
"518","Trachurus trachurus","Atlantic horse mackerel",1365,"Medium"
"519","Trisopterus esmarkii","Norway pout",1023,"Medium"
"520","Xiphias gladius","Swordfish",226,"Medium"
"521","Brosme brosme","Tusk",51,"Medium"
"522","Clupea harengus","Atlantic herring",24,"Medium"
"523","Platichthys flesus","Flounder",1341,"Medium"
